id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1837583452239286757,"@elonmusk Note how immigrants, legal or not, have absolutely nothing to do with this story.
Oklahoma is just Red state that is doing a crappy job maintaining its voter rolls.
Note also how there is no evidence of significant voter fraud *despite* the crappy voter rolls.",https://x.com/ylecun/status/1837583452239286757,tweet,Yann LeCun,@ylecun,96,3,37,602,23128,10,2024-09-22 01:33:30,,
1837384080683381216,"@elonmusk It's already illegal for non-citizens to vote.
100% bEloney.",https://x.com/ylecun/status/1837384080683381216,tweet,Yann LeCun,@ylecun,192,8,57,1255,52607,19,2024-09-21 12:21:16,,
1837380203280052513,"Sorry to keep you waiting 

A thread",https://x.com/ylecun/status/1837380203280052513,retweet,Michael Harriot,@michaelharriot,0,0,4366,0,-,0,2024-09-21 12:05:51,,
1837265260253720733,@rettwallace @spffspcmn I'm talking about the AI industry.,https://x.com/ylecun/status/1837265260253720733,tweet,Yann LeCun,@ylecun,6,0,0,18,2693,0,2024-09-21 04:29:07,,
1837264623344423412,"@ClamChowderAI @AI_EmeraldApple Sorry, but claiming in 
   of Tesla robotaxis by next year"" 
was a blatant lie, not merely naïve optimism.",https://x.com/ylecun/status/1837264623344423412,tweet,Yann LeCun,@ylecun,4,0,0,23,2348,1,2024-09-21 04:26:35,,
1837264083952796018,@JosephJacks_ One has to fight the enemy of truth on his own territory.,https://x.com/ylecun/status/1837264083952796018,tweet,Yann LeCun,@ylecun,29,2,4,174,9209,3,2024-09-21 04:24:26,,
1837262325230755982,"@BLSmith2112 Sorry, but claiming in 2019 ""millions of Tesla robotaxis by next year"" was a blatant lie, not a mere naïve optimism.",https://x.com/ylecun/status/1837262325230755982,tweet,Yann LeCun,@ylecun,44,0,3,188,8699,3,2024-09-21 04:17:27,,
1837261857511408031,"@jiromihailov No, I'm a realist.
And I positively hate AI hype because I've seen the AI industry die because of hype before.",https://x.com/ylecun/status/1837261857511408031,tweet,Yann LeCun,@ylecun,4,0,2,46,3365,2,2024-09-21 04:15:36,,
1837261554036686951,"@ajayjuneja Yes, I own a recent model S with FSD.
The issue is not with the product but with the lies about the product.
It was hyped as ""millions of Tesla robotaxis (Level-5) by 2020"" 
It's 2024, and we're still at Level-2.",https://x.com/ylecun/status/1837261554036686951,tweet,Yann LeCun,@ylecun,2,0,0,16,2412,1,2024-09-21 04:14:23,,
1837260217265836278,"@olivia_p_walker I'm not saying Tesla FSD 12.X is bad.
I use it all the time.

But it's nowhere near ""full"" self driving.
It's certified at Level-2, nowhere near Level-4, let alone Level-5.

My problem is the hype and the lies.",https://x.com/ylecun/status/1837260217265836278,tweet,Yann LeCun,@ylecun,8,1,0,55,6739,4,2024-09-21 04:09:05,,
1837259256904421462,"@tsla_niko Sorry, but this is not merely being optimistic.
It's not merely inspiring people to accelerate progress, either.
It's either incredibly naïve and ignorant optimism or deliberate lying.
I vote for deliberate lying.",https://x.com/ylecun/status/1837259256904421462,tweet,Yann LeCun,@ylecun,10,1,0,37,3217,0,2024-09-21 04:05:16,,
1837258621278650472,"@realsanketp @elonmusk I don't hate Elon. I hate his lies.
I like his cars, rockets, and satellite network.",https://x.com/ylecun/status/1837258621278650472,tweet,Yann LeCun,@ylecun,11,0,0,84,5619,1,2024-09-21 04:02:44,,
1837258219695263910,"I have two Tesla S. A P90D from 2015, and a recent one with so-called FSD.
FSD 12.X is useful. I use it all the time.
But it's Level-2, and nowhere near Level-4 or Level-5.
The point is not the quality of FSD 12.X, but the fact that Elon has systematically hyped its capabilities and lied about the timetable.
I knew it wasn't going to be anywhere close to Level-4 for a while because I know full well how hard it is to get beyond Level 2 or 3.
But lots of people bought the lies.",https://x.com/ylecun/status/1837258219695263910,tweet,Yann LeCun,@ylecun,10,1,1,70,7698,4,2024-09-21 04:01:08,,
1837256550504636892,"@spffspcmn I'm one of those folks. I mean, FSD 12.X is nice and useful.
But it's still not *FULL* Self Driving.
I'm well positioned to know how hard it is to get beyond Level 2.
But Elon damaged the industry by his constant hype and lies.",https://x.com/ylecun/status/1837256550504636892,tweet,Yann LeCun,@ylecun,18,2,1,118,7756,1,2024-09-21 03:54:30,,
1837255505850290475,@anti_grift @alex_valaitis I'll delete it just for you: blocked.,https://x.com/ylecun/status/1837255505850290475,tweet,Yann LeCun,@ylecun,0,0,0,7,357,0,2024-09-21 03:50:21,,
1837221941695975884,"Elon: ""I've kept lying to you again and again about Tesla's 'Full Self Driving' capabilities for the last 8 years, but you should believe everything I say about politics and everything else.""
https://t.co/35Ow2alApE",https://x.com/ylecun/status/1837221941695975884,tweet,Yann LeCun,@ylecun,538,64,616,4139,507203,331,2024-09-21 01:36:59,,
1837204770773254355,"A book does not have the scientific credibility of a multi-author, peer-reviewed article published in a reputable journal.
Such an article doesn't necessarily constitute the scientific consensus.
The real question is not:
  ""did some biologist write a book asking questions?"" 
but the question is:
  ""what is the current consensus within the scientific community, and how much certainty there for that consensus?""",https://x.com/ylecun/status/1837204770773254355,tweet,Yann LeCun,@ylecun,24,8,1,60,9421,0,2024-09-21 00:28:45,,
